Name of District,Population,Number of White People,Number of Black People,% White,%Black,Number Stops,Investigatory Stops,White Stops,Black Stops,%Stops White,% Stops Black,White Rates,Black Rates,Rates,Percent Investigatory,DIFF_RATES,DIFF RATE PLY
Central Division,15035,8523,5597,56.6877286332,37.2264715663,3315,32,8,21,25,65.625,4.6931831515,18.7600500268,10.6418357167,0.9653092006,28.3985284337,3.9972976594
Eastway Division,39477,17240,13412,43.6709983028,33.9742128328,7111,198,26,94,13.1313131313,47.4747474747,7.5406032483,35.0432448554,25.0778934569,2.7844185065,13.5005346419,4.6472733946
Independence Division,60704,30541,20338,50.3113468635,33.5035582499,4263,82,23,41,28.0487804878,50,3.7654300776,10.0796538499,6.754085398,1.9235280319,16.4964417501,2.676893115
Metro Division,25377,2222,21577,8.7559601214,85.0258107735,3155,77,13,62,16.8831168831,80.5194805195,29.2529252925,14.3671502062,15.1712180321,2.440570523,-4.506330254,0.491135504
North Division,85246,35359,40619,41.4787790629,47.6491565587,5656,68,8,53,11.7647058824,77.9411764706,1.1312537119,6.5240404737,3.9884569364,1.2022630835,30.2920199119,5.7670886779
North Tryon Division,41386,7820,23593,18.8952785966,57.0072005026,5518,218,23,145,10.5504587156,66.5137614679,14.7058823529,30.7294536515,26.3374087856,3.9507067778,9.5065609653,2.0896028483
Providence Division,59328,48935,6747,82.4821332255,11.3723705502,7957,100,36,45,36,45,3.6783488301,33.3481547354,8.4277238403,1.2567550584,33.6276294498,9.0660663998
South Division,145016,118890,10477,81.9840569316,7.2247200309,7297,80,46,17,57.5,21.25,1.9345613592,8.1130094493,2.7583163237,1.096340962,14.0252799691,4.1937204063
Steele Creek Division,76741,33843,25852,44.1002853755,33.6873379289,4693,179,46,61,25.6983240223,34.0782122905,6.7960878173,11.7979266594,11.662605387,3.8141913488,0.3908743616,1.7359879649
University City Division,94592,41830,36901,44.2214986468,39.0106985792,4304,63,16,36,25.3968253968,57.1428571429,1.9125029883,4.8779165876,3.3300913396,1.4637546468,18.1321585637,2.5505406357
Westover Division,36625,15966,15414,43.5931740614,42.0860068259,5295,155,27,99,17.4193548387,63.8709677419,8.4554678692,32.1136629039,21.1604095563,2.9272898961,21.784960916,3.7979758661
